Date,windcode,sec_name,Open,High,Low,Close,Volume,Adj Close,trade_status,pct_chg,maxupordown,new_column
2016-05-20 00:00:00.005,000001.SZ,平安银行,8.40582373897,8.47970304917,8.36477967774,8.45507661244,20670377.0,8.45507661244,1,0.487804878049,0,1
2016-05-23 00:00:00.005,000001.SZ,平安银行,8.47970304917,8.48791186142,8.41403255121,8.43865898795,32364676.0,8.43865898795,1,-0.194174757282,0,1
2016-05-24 00:00:00.005,000001.SZ,平安银行,8.4304501757,8.43865898795,8.36477967774,8.38119730223,25929404.0,8.38119730223,1,-0.68093385214,0,1
2016-05-25 00:00:00.005,000001.SZ,平安银行,8.41403255121,8.43865898795,8.36477967774,8.39761492672,20423540.0,8.39761492672,1,0.195886385896,0,1
2016-05-26 00:00:00.005,000001.SZ,平安银行,8.38940611448,8.4304501757,8.34836205325,8.38940611448,26139653.0,8.38940611448,1,-0.0977517106549,0,1
2016-05-27 00:00:00.005,000001.SZ,平安银行,8.38940611448,8.44686780019,8.36477967774,8.4304501757,22281892.0,8.4304501757,1,0.489236790607,0,1
2016-05-30 00:00:00.005,000001.SZ,平安银行,8.41403255121,8.43865898795,8.37298848999,8.43865898795,38094687.0,8.43865898795,1,0.0973709834469,0,1
2016-05-31 00:00:00.005,000001.SZ,平安银行,8.42224136346,8.67671454305,8.42224136346,8.66029691856,94646716.0,8.66029691856,1,2.62645914397,0,1
2016-06-01 00:00:00.005,000001.SZ,平安银行,8.62746166958,8.66029691856,8.56999998387,8.60283523285,55675091.0,8.60283523285,1,-0.663507109005,0,1
2016-06-02 00:00:00.005,000001.SZ,平安银行,8.5946264206,8.60283523285,8.55358235938,8.58641760836,29303622.0,8.58641760836,1,-0.190839694656,0,1
2016-06-03 00:00:00.005,000001.SZ,平安银行,8.5946264206,8.63567048183,8.54537354713,8.61925285734,42338929.0,8.61925285734,1,0.38240917782,0,1
2016-06-06 00:00:00.005,000001.SZ,平安银行,8.62746166958,8.64387929407,8.57820879611,8.62746166958,33833201.0,8.62746166958,1,0.0952380952381,0,1
2016-06-07 00:00:00.005,000001.SZ,平安银行,8.63567048183,8.64387929407,8.60283523285,8.63567048183,22928215.0,8.63567048183,1,0.0951474785918,0,1
2016-06-08 00:00:00.005,000001.SZ,平安银行,8.65208810632,8.65208810632,8.58641760836,8.61925285734,26818824.0,8.61925285734,1,-0.190114068441,0,1
2016-06-13 00:00:00.005,000001.SZ,平安银行,8.58641760836,8.5946264206,8.47970304917,8.47970304917,34481683.0,8.47970304917,1,-1.61904761905,0,1
2016-06-14 00:00:00.005,000001.SZ,平安银行,8.48791186142,8.54537354713,8.47149423693,8.53716473489,27363726.0,8.53716473489,1,0.677637947725,0,1
2016-06-15 00:00:00.005,000001.SZ,平安银行,8.47970304917,8.60283523285,8.47149423693,8.56999998387,37817241.0,8.56999998387,1,0.384615384615,0,1
2016-06-16 00:00:00.005,000001.SZ,平安银行,8.57,8.6,8.53,8.57,38667008.0,8.57,1,1.88242488264e-07,0,1
2016-06-17 00:00:00.005,000001.SZ,平安银行,8.57,8.61,8.54,8.58,31517300.0,8.58,1,0.116686114352,0,1
2016-06-20 00:00:00.005,000001.SZ,平安银行,8.59,8.6,8.56,8.6,27073158.0,8.6,1,0.2331002331,0,1
2016-06-21 00:00:00.005,000001.SZ,平安银行,8.61,8.65,8.58,8.61,38074985.0,8.61,1,0.116279069767,0,1
2016-06-22 00:00:00.005,000001.SZ,平安银行,8.6,8.73,8.58,8.73,47800201.0,8.73,1,1.393728223,0,1
2016-06-23 00:00:00.005,000001.SZ,平安银行,8.67,8.7,8.63,8.66,33561422.0,8.66,1,-0.801832760596,0,1
2016-06-24 00:00:00.005,000001.SZ,平安银行,8.64,8.7,8.52,8.57,42766409.0,8.57,1,-1.03926096998,0,1
2016-06-27 00:00:00.005,000001.SZ,平安银行,8.57,8.64,8.54,8.61,32521418.0,8.61,1,0.46674445741,0,1
2016-06-28 00:00:00.005,000001.SZ,平安银行,8.58,8.64,8.56,8.63,33651928.0,8.63,1,0.232288037166,0,1
2016-06-29 00:00:00.005,000001.SZ,平安银行,8.63,8.69,8.62,8.69,36961156.0,8.69,1,0.695249130939,0,1
2016-06-30 00:00:00.005,000001.SZ,平安银行,8.69,8.74,8.66,8.7,36220487.0,8.7,1,0.115074798619,0,1
2016-07-01 00:00:00.005,000001.SZ,平安银行,8.69,8.73,8.68,8.71,34893019.0,8.71,1,0.114942528736,0,1
2016-07-04 00:00:00.005,000001.SZ,平安银行,8.69,8.86,8.67,8.81,60825712.0,8.81,1,1.14810562572,0,1
2016-07-05 00:00:00.005,000001.SZ,平安银行,8.8,8.83,8.77,8.81,42203729.0,8.81,1,0.0,0,1
2016-07-06 00:00:00.005,000001.SZ,平安银行,8.8,8.82,8.76,8.79,32295017.0,8.79,1,-0.227014755959,0,1
2016-07-07 00:00:00.005,000001.SZ,平安银行,8.79,8.8,8.74,8.78,31285308.0,8.78,1,-0.113765642776,0,1
2016-07-08 00:00:00.005,000001.SZ,平安银行,8.79,8.79,8.73,8.74,26134229.0,8.74,1,-0.455580865604,0,1
2016-07-11 00:00:00.005,000001.SZ,平安银行,8.75,8.79,8.74,8.75,36537252.0,8.75,1,0.114416475973,0,1
2016-07-12 00:00:00.005,000001.SZ,平安银行,8.75,8.89,8.74,8.88,71183240.0,8.88,1,1.48571428571,0,1
2016-07-13 00:00:00.005,000001.SZ,平安银行,8.88,9.05,8.86,8.99,79828864.0,8.99,1,1.23873873874,0,1
2016-07-14 00:00:00.005,000001.SZ,平安银行,8.97,9.0,8.91,8.94,35969939.0,8.94,1,-0.55617352614,0,1
2016-07-15 00:00:00.005,000001.SZ,平安银行,8.95,9.0,8.91,8.99,35203395.0,8.99,1,0.559284116331,0,1
