Date,Open,High,Low,Close,Volume,Adj Close,trade_status,maxupordown,new_column
2015-12-22 09:25:00.005001,12.5,12.5,12.5,12.5,983100.0,12.5,1,0,1
2015-12-22 09:30:00.005004,12.45,12.48,12.43,12.43,1091400.0,12.43,1,0,1
2015-12-22 09:31:00.005000,12.46,12.49,12.44,12.48,1343420.0,12.48,1,0,1
2015-12-22 09:32:00.004996,12.48,12.5,12.45,12.48,1089100.0,12.48,1,0,1
2015-12-22 09:33:00.005003,12.47,12.52,12.47,12.52,764453.0,12.52,1,0,1
2015-12-22 09:34:00.004999,12.52,12.55,12.51,12.54,623459.0,12.54,1,0,1
2015-12-22 09:35:00.004996,12.56,12.56,12.52,12.52,607700.0,12.52,1,0,1
2015-12-22 09:36:00.005002,12.52,12.52,12.49,12.5,885500.0,12.5,1,0,1
2015-12-22 09:37:00.004999,12.49,12.5,12.46,12.5,727301.0,12.5,1,0,1
2015-12-22 09:38:00.005005,12.5,12.53,12.5,12.52,715500.0,12.52,1,0,1
2015-12-22 09:39:00.005002,12.52,12.52,12.5,12.52,748700.0,12.52,1,0,1
2015-12-22 09:40:00.004998,12.52,12.52,12.5,12.51,553187.0,12.51,1,0,1
2015-12-22 09:41:00.005004,12.51,12.51,12.5,12.5,336650.0,12.5,1,0,1
2015-12-22 09:42:00.005001,12.5,12.5,12.48,12.48,393209.0,12.48,1,0,1
2015-12-22 09:43:00.004997,12.48,12.49,12.48,12.49,658553.0,12.49,1,0,1
2015-12-22 09:44:00.005004,12.48,12.5,12.48,12.5,750005.0,12.5,1,0,1
2015-12-22 09:45:00.005000,12.51,12.52,12.5,12.52,308700.0,12.52,1,0,1
2015-12-22 09:46:00.004997,12.52,12.53,12.51,12.53,396521.0,12.53,1,0,1
2015-12-22 09:47:00.005003,12.52,12.55,12.52,12.54,501848.0,12.54,1,0,1
2015-12-22 09:48:00.005000,12.53,12.56,12.53,12.56,235600.0,12.56,1,0,1
2015-12-22 09:49:00.004996,12.55,12.56,12.55,12.55,812700.0,12.55,1,0,1
2015-12-22 09:50:00.005002,12.55,12.58,12.55,12.58,804664.0,12.58,1,0,1
2015-12-22 09:51:00.004999,12.57,12.6,12.56,12.6,963822.0,12.6,1,0,1
2015-12-22 09:52:00.004995,12.6,12.62,12.6,12.62,590679.0,12.62,1,0,1
2015-12-22 09:53:00.005002,12.62,12.62,12.56,12.57,588099.0,12.57,1,0,1
2015-12-22 09:54:00.004998,12.56,12.57,12.56,12.57,460000.0,12.57,1,0,1
2015-12-22 09:55:00.005005,12.56,12.57,12.55,12.56,945200.0,12.56,1,0,1
2015-12-22 09:56:00.005001,12.55,12.58,12.55,12.58,339098.0,12.58,1,0,1
2015-12-22 09:57:00.004998,12.58,12.6,12.58,12.6,418421.0,12.6,1,0,1
2015-12-22 09:58:00.005004,12.6,12.61,12.58,12.58,646179.0,12.58,1,0,1
2015-12-22 09:59:00.005000,12.58,12.6,12.56,12.57,636600.0,12.57,1,0,1
2015-12-22 10:00:00.004997,12.56,12.57,12.53,12.53,470938.0,12.53,1,0,1
2015-12-22 10:01:00.005003,12.54,12.54,12.51,12.52,240600.0,12.52,1,0,1
2015-12-22 10:02:00.005000,12.51,12.52,12.5,12.5,318000.0,12.5,1,0,1
2015-12-22 10:03:00.004996,12.5,12.51,12.49,12.51,417600.0,12.51,1,0,1
2015-12-22 10:04:00.005003,12.5,12.51,12.48,12.5,388133.0,12.5,1,0,1
2015-12-22 10:05:00.004999,12.5,12.52,12.5,12.51,407600.0,12.51,1,0,1
2015-12-22 10:06:00.004996,12.51,12.52,12.5,12.51,370100.0,12.51,1,0,1
2015-12-22 10:07:00.005002,12.5,12.52,12.5,12.51,288000.0,12.51,1,0,1
2015-12-22 10:08:00.004998,12.52,12.52,12.5,12.5,411100.0,12.5,1,0,1
2015-12-22 10:09:00.005005,12.5,12.5,12.48,12.48,310100.0,12.48,1,0,1
2015-12-22 10:10:00.005001,12.48,12.49,12.48,12.49,353743.0,12.49,1,0,1
2015-12-22 10:11:00.004998,12.49,12.5,12.48,12.49,223300.0,12.49,1,0,1
2015-12-22 10:12:00.005004,12.49,12.5,12.48,12.49,330600.0,12.49,1,0,1
2015-12-22 10:13:00.005001,12.49,12.5,12.48,12.49,186600.0,12.49,1,0,1
2015-12-22 10:14:00.004997,12.49,12.5,12.49,12.5,458799.0,12.5,1,0,1
2015-12-22 10:15:00.005004,12.5,12.5,12.49,12.49,119511.0,12.49,1,0,1
2015-12-22 10:16:00.005000,12.49,12.5,12.47,12.47,461814.0,12.47,1,0,1
2015-12-22 10:17:00.004996,12.47,12.48,12.46,12.46,354612.0,12.46,1,0,1
2015-12-22 10:18:00.005003,12.46,12.46,12.45,12.46,446900.0,12.46,1,0,1
2015-12-22 10:19:00.004999,12.46,12.46,12.44,12.45,498600.0,12.45,1,0,1
2015-12-22 10:20:00.004996,12.44,12.45,12.42,12.43,686300.0,12.43,1,0,1
2015-12-22 10:21:00.005002,12.43,12.43,12.41,12.43,436600.0,12.43,1,0,1
2015-12-22 10:22:00.004999,12.44,12.45,12.43,12.45,297300.0,12.45,1,0,1
2015-12-22 10:23:00.005005,12.45,12.46,12.45,12.45,285120.0,12.45,1,0,1
2015-12-22 10:24:00.005002,12.46,12.46,12.45,12.45,94106.0,12.45,1,0,1
2015-12-22 10:25:00.004998,12.46,12.47,12.45,12.46,174900.0,12.46,1,0,1
2015-12-22 10:26:00.005004,12.45,12.47,12.45,12.45,340958.0,12.45,1,0,1
2015-12-22 10:27:00.005001,12.45,12.47,12.45,12.45,151500.0,12.45,1,0,1
2015-12-22 10:28:00.004997,12.46,12.46,12.44,12.45,307842.0,12.45,1,0,1
2015-12-22 10:29:00.005004,12.44,12.47,12.44,12.46,182003.0,12.46,1,0,1
2015-12-22 10:30:00.005000,12.47,12.49,12.46,12.48,190300.0,12.48,1,0,1
2015-12-22 10:31:00.004997,12.48,12.48,12.47,12.48,115889.0,12.48,1,0,1
2015-12-22 10:32:00.005003,12.49,12.5,12.48,12.49,136823.0,12.49,1,0,1
2015-12-22 10:33:00.005000,12.49,12.51,12.49,12.5,248200.0,12.5,1,0,1
2015-12-22 10:34:00.004996,12.49,12.5,12.48,12.49,57557.0,12.49,1,0,1
2015-12-22 10:35:00.005002,12.48,12.49,12.47,12.48,115820.0,12.48,1,0,1
2015-12-22 10:36:00.004999,12.47,12.49,12.47,12.49,374451.0,12.49,1,0,1
2015-12-22 10:37:00.004995,12.49,12.51,12.48,12.51,258863.0,12.51,1,0,1
2015-12-22 10:38:00.005002,12.5,12.5,12.49,12.49,134221.0,12.49,1,0,1
2015-12-22 10:39:00.004998,12.49,12.5,12.49,12.49,127642.0,12.49,1,0,1
2015-12-22 10:40:00.005005,12.48,12.5,12.47,12.47,66723.0,12.47,1,0,1
2015-12-22 10:41:00.005001,12.47,12.5,12.47,12.49,34354.0,12.49,1,0,1
2015-12-22 10:42:00.004998,12.48,12.49,12.47,12.47,82500.0,12.47,1,0,1
2015-12-22 10:43:00.005004,12.48,12.48,12.44,12.46,410500.0,12.46,1,0,1
2015-12-22 10:44:00.005000,12.44,12.45,12.43,12.44,196100.0,12.44,1,0,1
2015-12-22 10:45:00.004997,12.45,12.46,12.44,12.45,134600.0,12.45,1,0,1
2015-12-22 10:46:00.005003,12.45,12.47,12.45,12.45,278122.0,12.45,1,0,1
