Date,Open,High,Low,Close,Volume,Adj Close,trade_status,maxupordown,new_column
2015-12-22 09:25:00.005001,,,,,,,1,0,1
2015-12-22 09:30:00.005004,,,,,,,1,0,1
2015-12-22 09:31:00.005000,,,,,,,1,0,1
2015-12-22 09:32:00.004996,,,,,,,1,0,1
2015-12-22 09:33:00.005003,,,,,,,1,0,1
2015-12-22 09:34:00.004999,,,,,,,1,0,1
2015-12-22 09:35:00.004996,,,,,,,1,0,1
2015-12-22 09:36:00.005002,,,,,,,1,0,1
2015-12-22 09:37:00.004999,,,,,,,1,0,1
2015-12-22 09:38:00.005005,,,,,,,1,0,1
2015-12-22 09:39:00.005002,,,,,,,1,0,1
2015-12-22 09:40:00.004998,,,,,,,1,0,1
2015-12-22 09:41:00.005004,,,,,,,1,0,1
2015-12-22 09:42:00.005001,,,,,,,1,0,1
2015-12-22 09:43:00.004997,,,,,,,1,0,1
2015-12-22 09:44:00.005004,,,,,,,1,0,1
2015-12-22 09:45:00.005000,,,,,,,1,0,1
2015-12-22 09:46:00.004997,,,,,,,1,0,1
2015-12-22 09:47:00.005003,,,,,,,1,0,1
2015-12-22 09:48:00.005000,,,,,,,1,0,1
2015-12-22 09:49:00.004996,,,,,,,1,0,1
2015-12-22 09:50:00.005002,,,,,,,1,0,1
2015-12-22 09:51:00.004999,,,,,,,1,0,1
2015-12-22 09:52:00.004995,,,,,,,1,0,1
2015-12-22 09:53:00.005002,,,,,,,1,0,1
2015-12-22 09:54:00.004998,,,,,,,1,0,1
2015-12-22 09:55:00.005005,,,,,,,1,0,1
2015-12-22 09:56:00.005001,,,,,,,1,0,1
2015-12-22 09:57:00.004998,,,,,,,1,0,1
2015-12-22 09:58:00.005004,,,,,,,1,0,1
2015-12-22 09:59:00.005000,,,,,,,1,0,1
2015-12-22 10:00:00.004997,,,,,,,1,0,1
2015-12-22 10:01:00.005003,,,,,,,1,0,1
2015-12-22 10:02:00.005000,,,,,,,1,0,1
2015-12-22 10:03:00.004996,,,,,,,1,0,1
2015-12-22 10:04:00.005003,,,,,,,1,0,1
2015-12-22 10:05:00.004999,,,,,,,1,0,1
2015-12-22 10:06:00.004996,,,,,,,1,0,1
2015-12-22 10:07:00.005002,,,,,,,1,0,1
2015-12-22 10:08:00.004998,,,,,,,1,0,1
2015-12-22 10:09:00.005005,,,,,,,1,0,1
2015-12-22 10:10:00.005001,,,,,,,1,0,1
2015-12-22 10:11:00.004998,,,,,,,1,0,1
2015-12-22 10:12:00.005004,,,,,,,1,0,1
2015-12-22 10:13:00.005001,,,,,,,1,0,1
2015-12-22 10:14:00.004997,,,,,,,1,0,1
2015-12-22 10:15:00.005004,,,,,,,1,0,1
2015-12-22 10:16:00.005000,,,,,,,1,0,1
2015-12-22 10:17:00.004996,,,,,,,1,0,1
2015-12-22 10:18:00.005003,,,,,,,1,0,1
2015-12-22 10:19:00.004999,,,,,,,1,0,1
2015-12-22 10:20:00.004996,,,,,,,1,0,1
2015-12-22 10:21:00.005002,,,,,,,1,0,1
2015-12-22 10:22:00.004999,,,,,,,1,0,1
2015-12-22 10:23:00.005005,,,,,,,1,0,1
2015-12-22 10:24:00.005002,,,,,,,1,0,1
2015-12-22 10:25:00.004998,,,,,,,1,0,1
2015-12-22 10:26:00.005004,,,,,,,1,0,1
2015-12-22 10:27:00.005001,,,,,,,1,0,1
2015-12-22 10:28:00.004997,,,,,,,1,0,1
2015-12-22 10:29:00.005004,,,,,,,1,0,1
2015-12-22 10:30:00.005000,,,,,,,1,0,1
2015-12-22 10:31:00.004997,,,,,,,1,0,1
2015-12-22 10:32:00.005003,,,,,,,1,0,1
2015-12-22 10:33:00.005000,,,,,,,1,0,1
2015-12-22 10:34:00.004996,,,,,,,1,0,1
2015-12-22 10:35:00.005002,,,,,,,1,0,1
2015-12-22 10:36:00.004999,,,,,,,1,0,1
2015-12-22 10:37:00.004995,,,,,,,1,0,1
2015-12-22 10:38:00.005002,,,,,,,1,0,1
2015-12-22 10:39:00.004998,,,,,,,1,0,1
2015-12-22 10:40:00.005005,,,,,,,1,0,1
